,0,1,2,3,4,5,6,7,8
0,image,x0 (microns),y0 (microns),σ (microns),color,N (count),B (count),R^2,CRLB_x0 (microns)
1,0,225.85478404362414,224.1444750930746,12.481043162279772,1,46580730.47675844,0.0,0.8342839271329772,0.03283329545846597
2,0,337.82722653553503,5.93816931736394,9.970911529883434,1,20769946.29709634,1.7568485531977272e-06,0.8515137854431987,0.042644856109812584
3,1,292.8782423751017,198.6764928918011,12.780259817450071,1,52142416.93280338,0.0,0.8437496786023702,0.03146739919929655
4,1,217.52451884936983,340.6949361106584,12.83413818302744,1,32468983.5794921,2.5145742654385093e-08,0.8028201581075676,0.042761862883840984
5,2,413.50078420163425,144.5695292089414,18.477591651430174,0,81389768.44167191,0.0,0.664884760506193,0.038004660730315346
6,2,153.1187787584312,238.0734347519626,7.953404923478613,0,6232048.0596573325,0.0,0.790827274938858,0.05771322528525603
7,3,353.2756267217518,369.9252153707834,12.529747266183376,1,33376571.153733857,1.0451061843156776e-09,0.8497505772403388,0.03943690420547486
8,3,269.7795736150908,144.69669920993377,13.28662704810821,1,43804306.87260164,0.0,0.8221341062260307,0.03720993763527941
9,3,343.6342960917237,60.910475211256966,14.241360062820144,1,77223392.4546514,0.0,0.8421428079608723,0.029086401513764987
10,4,464.42577622109894,133.69033327903264,9.15541743226108,0,20658838.079834163,0.00010839867583754283,0.7301975093125233,0.03845457446318141
11,4,334.0361157199176,242.291322788326,8.171567188225369,0,23177125.784346007,8.909353671560509e-06,0.7937103633181393,0.03242511001871459
12,4,454.49744793186755,366.21883996828547,7.078790295386957,0,3612818.13677831,0.000342588096957511,0.49715803261922376,0.08054311623789552
13,4,453.9377116576859,0.6262170408733065,2.6332682741693514,0,387312.9637962106,19969.301062966784,0.722177399821867,0.09148316464286707
14,5,84.87073214154506,106.59438768640587,10.108960410638543,0,30263867.452815175,4.100532349380321e-07,0.8077037032836665,0.03427768501254085
15,5,132.478794608685,320.0840440873499,8.96998548795477,0,12238015.810737263,2.591923308943816,0.613531045704933,0.050761851281472654
16,5,95.34332788233044,33.39903193994908,7.87193086343803,0,7023287.189646327,3.932141701054777e-05,0.6931643858196608,0.05614216689478982
17,6,460.0957498339255,213.68231891009944,8.136780623932257,0,10430365.896214522,1.869569812292245e-06,0.5870935668015602,0.048784378218628584
18,6,329.4514325550014,353.57771847899977,7.594218796746294,0,14238574.092969758,1.1094317003787788e-07,0.766785219118046,0.03660652840470008
19,6,59.299253167511864,267.70909424450196,9.167896028040065,0,9215858.759765916,0.0,0.5457839433602185,0.05882354792674854
20,6,219.67507245690337,349.80582778014593,5.415333391468541,0,2795523.77355086,73686.22179152074,0.49406364529533076,0.06648192697630516
21,7,156.8126819978981,175.8376197765812,8.77289932323309,0,17535293.49911699,8.310314899350605e-08,0.7516321210392056,0.039189101773685245
22,7,383.15760707610997,152.75431111409443,7.861819884078445,0,14145005.919495162,1.9255967161427278e-08,0.7565393115797805,0.038709771266763095
23,7,43.813572817881386,415.2304652674501,6.416119235744248,0,1926964.451315905,0.0,0.5016704713881334,0.09945581272846879
24,8,258.50717127159936,188.4687085198226,9.42973994187647,0,27659650.94173999,4.3906781392255386e-07,0.8140584255459485,0.031708184021253596
25,8,258.3997514822117,188.55840934441903,9.592372783671031,1,29368476.029016197,0.0,0.8341917317845526,0.03065162490402052
26,8,199.05273609679278,281.8272589456753,6.963347121722178,1,4070007.1214387445,1001.2257023063571,0.7473410664546929,0.06501678450784716
27,9,258.41167042264317,188.6251841335458,9.60350613933844,1,29425141.683572564,0.0,0.8366924623866456,0.030677158649130943
28,9,258.4649161339645,188.51157505501266,9.507825597969727,0,28468150.00586701,0.0,0.8254701219843978,0.031125026870418498
29,9,199.31647848842388,282.51194522054993,6.755840026899048,1,4017136.96742972,0.00312365583382411,0.7585344015250123,0.062244966254672976
30,9,199.31850137221414,283.03736612884194,5.366349616961917,0,2476040.6482905485,73268.35709036492,0.735059774180373,0.06052214740959203
31,10,456.83198387702504,113.13148503574462,23.920838567916554,1,121923063.97974083,208640.73857305525,0.5158294322048392,0.041687893244485505
32,10,57.10647949795285,320.19457431014905,12.856463156138652,1,43539163.179117836,4.5392215168920434e-07,0.7385248786122622,0.03520660949652496
