epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,689.685,1.01335,1.41863,4.06841,1.07727,0.9232,0.86676,0.90623,0.67511,0.9232,0.86676,0.90572,0.68168,1.05446,1.61018,2.97538,1.07484,0.00112239,0.00112239,0.00112239
35,709.859,1.04304,1.40281,4.02556,1.09018,0.82095,0.80389,0.88424,0.65633,0.81727,0.80735,0.88664,0.669,1.05898,1.59729,3.63819,1.07584,0.00110589,0.00110589,0.00110589
36,729.907,1.02922,1.38487,4.11914,1.09273,0.94692,0.87551,0.91132,0.6946,0.95009,0.8783,0.91319,0.69802,1.0111,1.60922,2.80121,1.06196,0.00108938,0.00108938,0.00108938
37,749.727,1.0133,1.40865,4.20212,1.0776,0.81422,0.79206,0.86881,0.65767,0.81631,0.79073,0.86999,0.66359,1.0436,1.62045,3.60411,1.07901,0.00107288,0.00107288,0.00107288
38,769.656,1.00005,1.31837,4.05991,1.07691,0.95077,0.82861,0.8995,0.68808,0.93665,0.82733,0.90146,0.68726,1.00532,1.71919,2.86038,1.04687,0.00105638,0.00105638,0.00105638
39,789.546,1.00854,1.34712,3.94112,1.06675,0.94141,0.84117,0.90516,0.65679,0.94321,0.84251,0.90658,0.68333,1.13185,1.64141,2.91556,1.10074,0.00103987,0.00103987,0.00103987
40,809.241,0.97271,1.4509,3.96846,1.07637,0.86495,0.79036,0.88478,0.69363,0.86371,0.78902,0.88483,0.6753,0.93253,1.60684,3.02538,1.02667,0.00102337,0.00102337,0.00102337
41,828.922,1.01674,1.39363,3.97925,1.06045,0.95208,0.86152,0.91739,0.68995,0.94777,0.85786,0.90561,0.68494,0.98478,1.60101,2.75519,1.07168,0.00100687,0.00100687,0.00100687
42,848.857,1.00015,1.36538,4.02782,1.0875,0.97427,0.85368,0.91371,0.70672,0.94769,0.87869,0.91268,0.6938,1.00486,1.61806,2.78692,1.03555,0.000990365,0.000990365,0.000990365
43,869.019,0.98145,1.35628,3.91955,1.06421,0.93821,0.88392,0.91326,0.68614,0.95033,0.86419,0.91129,0.70388,1.04631,1.6033,2.62662,1.05999,0.000973861,0.000973861,0.000973861
44,889.09,0.95185,1.26028,3.82932,1.04667,0.91684,0.86837,0.90715,0.69844,0.94771,0.84239,0.90841,0.70049,0.96772,1.59112,2.68534,1.02973,0.000957358,0.000957358,0.000957358
45,908.971,0.95848,1.3007,3.86783,1.07484,0.95904,0.8681,0.91145,0.67096,0.96207,0.87048,0.91274,0.6934,1.08034,1.61146,2.67772,1.07238,0.000940855,0.000940855,0.000940855
46,928.737,0.96898,1.28824,3.84196,1.0517,0.94982,0.86955,0.9061,0.66768,0.95093,0.86955,0.90853,0.69785,1.11996,1.61575,2.86113,1.10095,0.000924352,0.000924352,0.000924352
47,948.575,0.95936,1.3269,3.75564,1.04722,0.93616,0.85666,0.91237,0.70133,0.93785,0.85848,0.90809,0.70638,0.95949,1.52728,2.65257,1.03379,0.000907848,0.000907848,0.000907848
48,968.446,0.96164,1.27674,3.95542,1.06921,0.94936,0.86705,0.91437,0.70572,0.94931,0.86672,0.9107,0.70293,0.98446,1.54202,2.61005,1.03313,0.000891345,0.000891345,0.000891345
49,988.449,0.96556,1.28786,3.86239,1.05526,0.95763,0.84133,0.90968,0.69247,0.95946,0.84535,0.91024,0.68556,0.95768,1.63311,2.66515,1.02503,0.000874842,0.000874842,0.000874842
50,1008.68,0.95157,1.33621,3.81689,1.04845,0.9255,0.84777,0.9017,0.68585,0.92956,0.85022,0.90712,0.70256,1.02098,1.55812,2.72807,1.05076,0.000858338,0.000858338,0.000858338
51,1028.62,0.9673,1.28225,3.85048,1.05535,0.97375,0.86696,0.91281,0.66502,0.97284,0.87049,0.91272,0.69034,1.08385,1.58273,2.7501,1.06478,0.000841835,0.000841835,0.000841835
52,1048.6,0.96007,1.30481,3.71375,1.05726,0.94115,0.88464,0.91642,0.69976,0.96253,0.86546,0.90926,0.70415,0.99608,1.54802,2.57053,1.03601,0.000825332,0.000825332,0.000825332
53,1068.6,0.98436,1.30805,3.81967,1.05845,0.91389,0.82757,0.90649,0.70159,0.91414,0.82204,0.9019,0.69726,0.91987,1.55767,2.71722,1.02932,0.000808828,0.000808828,0.000808828
54,1088.69,0.96487,1.32084,3.77085,1.05891,0.94762,0.8545,0.91707,0.69433,0.95485,0.8545,0.91314,0.71659,0.97029,1.50737,2.67935,1.02632,0.000792325,0.000792325,0.000792325
55,1108.35,0.97768,1.35548,3.77481,1.0557,0.96752,0.87052,0.91544,0.67923,0.97089,0.8731,0.91369,0.68265,0.98537,1.5945,2.55908,1.03787,0.000775822,0.000775822,0.000775822
56,1128.1,0.92952,1.29716,3.60951,1.04405,0.95092,0.87659,0.91702,0.70409,0.96,0.87002,0.91835,0.7176,0.9756,1.53996,2.49094,1.0299,0.000759318,0.000759318,0.000759318
57,1148.27,0.95177,1.30279,3.55744,1.05417,0.96877,0.8504,0.9093,0.70901,0.95724,0.8627,0.91455,0.7156,0.93525,1.48149,2.59181,1.0197,0.000742815,0.000742815,0.000742815
58,1168.12,0.94257,1.3038,3.71783,1.05984,0.91902,0.85822,0.91226,0.70783,0.92427,0.86224,0.91173,0.70014,0.93827,1.5633,2.67535,1.0172,0.000726312,0.000726312,0.000726312
59,1188.11,0.96868,1.27831,3.74985,1.04763,0.96722,0.8583,0.91448,0.71206,0.96777,0.86298,0.91451,0.72064,0.9429,1.50638,2.47747,1.03176,0.000709809,0.000709809,0.000709809
60,1208.53,0.91434,1.25642,3.68573,1.0366,0.96303,0.86353,0.91262,0.69618,0.96611,0.87437,0.91822,0.72436,0.96888,1.52358,2.46582,1.02601,0.000693305,0.000693305,0.000693305
61,1228.08,0.95567,1.31987,3.53107,1.03343,0.94472,0.87335,0.91278,0.69502,0.94621,0.87735,0.91153,0.7131,0.98167,1.57711,2.5521,1.03183,0.000676802,0.000676802,0.000676802
62,1248.06,0.91193,1.26152,3.57347,1.03136,0.95251,0.86227,0.91325,0.68604,0.95677,0.86622,0.91341,0.72049,1.01647,1.51216,2.49694,1.0343,0.000660299,0.000660299,0.000660299
63,1268.09,0.94235,1.2622,3.563,1.04013,0.90139,0.8174,0.89351,0.69435,0.90536,0.82208,0.89612,0.68261,0.94282,1.5744,3.00085,1.02536,0.000643795,0.000643795,0.000643795
64,1288.04,0.93437,1.25714,3.51219,1.03192,0.95627,0.8668,0.91377,0.72279,0.96054,0.87074,0.91935,0.72103,0.90534,1.5201,2.39896,1.00807,0.000627292,0.000627292,0.000627292
65,1308.41,0.9423,1.26287,3.50216,1.03844,0.94869,0.88164,0.91942,0.72486,0.96905,0.87051,0.9151,0.72027,0.8841,1.469,2.28287,1.00225,0.000610789,0.000610789,0.000610789
66,1328.83,0.90069,1.26298,3.43307,1.03595,0.96395,0.86136,0.91899,0.70639,0.96729,0.86404,0.91552,0.71142,0.95222,1.55798,2.36981,1.0122,0.000594286,0.000594286,0.000594286
67,1349.43,0.89223,1.23843,3.47629,1.02646,0.9454,0.88786,0.92193,0.72672,0.94266,0.88882,0.91642,0.7171,0.8697,1.4895,2.29076,1.00738,0.000577782,0.000577782,0.000577782
68,1369.76,0.91706,1.2927,3.50066,1.03195,0.94692,0.87816,0.91838,0.7246,0.94597,0.87532,0.91477,0.71795,0.89682,1.49815,2.27285,1.00606,0.000561279,0.000561279,0.000561279
69,1390,0.91828,1.2572,3.45208,1.04253,0.97379,0.86136,0.91943,0.70265,0.97623,0.8627,0.91977,0.69029,0.93423,1.52433,2.39479,1.01306,0.000544776,0.000544776,0.000544776
70,1410.06,0.93588,1.26603,3.50701,1.04593,0.96225,0.88116,0.9131,0.68599,0.9626,0.88376,0.9087,0.68787,0.9846,1.59812,2.32136,1.02432,0.000528272,0.000528272,0.000528272
71,1429.86,0.91439,1.32963,3.49921,1.03571,0.95703,0.84356,0.91552,0.70982,0.95804,0.8452,0.91589,0.71976,0.91638,1.47698,2.49229,0.998,0.000511769,0.000511769,0.000511769
72,1449.42,0.9309,1.27878,3.41305,1.03811,0.91995,0.85584,0.90895,0.71435,0.91995,0.85584,0.90592,0.71716,0.88357,1.45767,2.63815,0.99212,0.000495266,0.000495266,0.000495266
73,1469.2,0.88786,1.29391,3.32118,1.01777,0.96793,0.87215,0.91898,0.72812,0.97741,0.86925,0.91855,0.7255,0.86229,1.44845,2.24601,0.99092,0.000478762,0.000478762,0.000478762
74,1488.84,0.88824,1.30032,3.40362,1.03268,0.9524,0.88768,0.9195,0.72812,0.97774,0.86136,0.91874,0.72316,0.87686,1.47653,2.21829,1.00872,0.000462259,0.000462259,0.000462259
75,1508.62,0.90385,1.2434,3.41618,1.027,0.93731,0.88905,0.91926,0.72916,0.98815,0.85197,0.91896,0.723,0.88955,1.44275,2.2638,0.99797,0.000445756,0.000445756,0.000445756
76,1528.54,0.8991,1.26432,3.39325,1.0263,0.96266,0.87446,0.91525,0.7172,0.96266,0.87446,0.91448,0.71543,0.91139,1.50731,2.32582,1.00633,0.000429253,0.000429253,0.000429253
77,1548.35,0.89267,1.26017,3.36179,1.04104,0.95639,0.87564,0.91501,0.71797,0.97097,0.86869,0.91896,0.72327,0.91211,1.44289,2.30314,1.00283,0.000412749,0.000412749,0.000412749
78,1567.99,0.87908,1.27157,3.36126,1.01731,0.97019,0.8756,0.91974,0.73345,0.97158,0.87496,0.9149,0.72898,0.86378,1.44286,2.22339,0.9912,0.000396246,0.000396246,0.000396246
79,1587.66,0.90329,1.2128,3.30549,1.02791,0.95185,0.87319,0.91927,0.72954,0.95133,0.87319,0.9155,0.72184,0.86515,1.45165,2.30858,0.99484,0.000379743,0.000379743,0.000379743
80,1607.5,0.9248,1.25329,3.28601,1.02332,0.94405,0.88573,0.92043,0.73305,0.94034,0.87721,0.91548,0.73428,0.85384,1.42649,2.27101,0.9899,0.000363239,0.000363239,0.000363239
81,1627.41,0.86578,1.23308,3.32029,1.01301,0.96899,0.86658,0.91593,0.72246,0.97925,0.87023,0.91782,0.7329,0.89058,1.41561,2.24847,1.00655,0.000346736,0.000346736,0.000346736
82,1647.06,0.89344,1.19232,3.18502,1.0278,0.98036,0.87132,0.92251,0.73294,0.98259,0.86891,0.9213,0.74102,0.87309,1.40496,2.14089,0.99905,0.000330233,0.000330233,0.000330233
83,1667.04,0.87897,1.27095,3.25546,1.01594,0.97577,0.86211,0.9194,0.71161,0.97632,0.86254,0.91642,0.7213,0.91074,1.47589,2.32173,0.99416,0.000313729,0.000313729,0.000313729
84,1686.59,0.84602,1.17144,3.2375,1.01059,0.95566,0.88792,0.92217,0.73554,0.95306,0.88531,0.91838,0.73651,0.8778,1.4443,2.23587,0.9899,0.000297226,0.000297226,0.000297226
85,1706.35,0.88613,1.26644,3.27128,1.01935,0.95697,0.88639,0.92235,0.74182,0.95437,0.88379,0.92029,0.73175,0.83746,1.45484,2.13729,0.98729,0.000280723,0.000280723,0.000280723
86,1726.24,0.86437,1.23943,3.33565,1.02928,0.95948,0.88568,0.92348,0.72957,0.97668,0.87165,0.92145,0.73523,0.86468,1.42883,2.09729,0.9909,0.00026422,0.00026422,0.00026422
87,1746.01,0.86814,1.2964,3.21621,1.0106,0.96224,0.8938,0.92382,0.71186,0.9603,0.89047,0.91837,0.72467,0.93401,1.48206,2.19213,1.00598,0.000247716,0.000247716,0.000247716
88,1766.1,0.89323,1.24077,3.17039,1.01128,0.97683,0.86477,0.92191,0.7353,0.9802,0.86757,0.91719,0.73182,0.8452,1.44113,2.13246,0.98798,0.000231213,0.000231213,0.000231213
89,1786.4,0.86997,1.24168,3.24836,1.01832,0.98274,0.86302,0.92172,0.73675,0.98568,0.86639,0.91685,0.73126,0.83384,1.429,2.15712,0.98006,0.00021471,0.00021471,0.00021471
90,1806.71,0.846,1.19058,3.10585,0.9971,0.95464,0.88343,0.91942,0.70045,0.9579,0.88559,0.91799,0.7121,0.94376,1.50135,2.2732,1.00734,0.000198206,0.000198206,0.000198206
91,1828.04,0.79483,1.18385,2.84561,1.01617,0.94598,0.89188,0.92028,0.72112,0.97271,0.86088,0.91593,0.72733,0.8902,1.4682,2.17436,0.99467,0.000181703,0.000181703,0.000181703
92,1847.88,0.78798,1.28776,2.94788,1.02534,0.95545,0.89046,0.92358,0.74392,0.95419,0.88786,0.92012,0.73123,0.82312,1.43467,2.10969,0.98303,0.0001652,0.0001652,0.0001652
93,1867.04,0.77419,1.23952,2.79067,1.01115,0.95225,0.88699,0.92051,0.73203,0.97167,0.86791,0.92182,0.71482,0.84258,1.43323,2.0845,0.98193,0.000148696,0.000148696,0.000148696
94,1886.24,0.79371,1.25798,2.81853,1.01613,0.95281,0.88699,0.92265,0.7426,0.97311,0.86128,0.91648,0.73581,0.83253,1.42041,2.07848,0.97565,0.000132193,0.000132193,0.000132193
95,1905.66,0.77657,1.18927,2.71755,1.00573,0.95722,0.88948,0.92402,0.73891,0.95462,0.88688,0.91984,0.7386,0.84348,1.42878,2.06253,0.97578,0.00011569,0.00011569,0.00011569
96,1924.88,0.77548,1.21089,2.78773,1.00236,0.96898,0.88384,0.92184,0.747,0.9731,0.87721,0.91981,0.73678,0.81758,1.39414,2.0327,0.97514,9.91865e-05,9.91865e-05,9.91865e-05
97,1943.97,0.80716,1.22213,2.78267,1.01891,0.95198,0.88919,0.92401,0.74392,0.97855,0.86932,0.91972,0.74097,0.82792,1.41998,2.00889,0.97719,8.26832e-05,8.26832e-05,8.26832e-05
98,1963.48,0.79621,1.27102,2.74814,1.01864,0.9587,0.89168,0.92365,0.73421,0.97382,0.86932,0.91838,0.73462,0.85218,1.42665,2.06517,0.98038,6.61799e-05,6.61799e-05,6.61799e-05
99,1982.74,0.78827,1.22125,2.7164,1.01105,0.95855,0.89256,0.92288,0.74453,0.9752,0.87757,0.91882,0.74195,0.82579,1.40181,2.03869,0.97717,4.96766e-05,4.96766e-05,4.96766e-05
100,2002.21,0.7689,1.14424,2.69988,0.99571,0.9601,0.89185,0.92199,0.7502,0.96416,0.88384,0.91964,0.74097,0.81754,1.40005,2.0226,0.97612,3.31733e-05,3.31733e-05,3.31733e-05
