epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.587,1.65276,2.46984,14.8875,1.37705,0.58911,0.79905,0.54736,0.34474,0.59126,0.80368,0.5529,0.36505,1.31657,2.18564,6.80759,1.23624,0.000552773,0.000552773,0.000552773
2,46.9848,1.38951,1.92304,9.99318,1.25003,0.52606,0.81541,0.51094,0.31043,0.52506,0.81988,0.5128,0.34626,1.44511,2.01891,6.41886,1.27925,0.00109747,0.00109747,0.00109747
3,67.3394,1.363,1.71193,8.2378,1.28282,0.48597,0.80567,0.66226,0.44066,0.48713,0.80828,0.66113,0.4595,1.31042,2.02261,5.79885,1.17402,0.00163116,0.00163116,0.00163116
4,87.3007,1.34131,1.7633,7.1733,1.24615,0.47408,0.83865,0.70732,0.41246,0.48588,0.82815,0.70618,0.45309,1.44144,1.96336,5.99118,1.33175,0.00161749,0.00161749,0.00161749
5,106.989,1.22419,1.69764,6.55677,1.19932,0.50689,0.81395,0.72633,0.493,0.50448,0.81266,0.72144,0.51631,1.26597,1.96242,5.57752,1.16966,0.00160099,0.00160099,0.00160099
6,127.312,1.23942,1.74025,6.38927,1.22137,0.47689,0.82097,0.54818,0.36163,0.47919,0.82269,0.54807,0.37733,1.31855,1.90883,5.64605,1.18325,0.00158448,0.00158448,0.00158448
7,147.238,1.22629,1.55662,6.1186,1.20298,0.49386,0.83975,0.64186,0.44902,0.49457,0.84091,0.63969,0.4477,1.17983,1.88794,5.05459,1.19051,0.00156798,0.00156798,0.00156798
8,167.376,1.22809,1.56864,6.0707,1.21629,0.82876,0.71631,0.80216,0.57711,0.82876,0.71631,0.80117,0.6062,1.21471,1.93478,4.86376,1.1466,0.00155148,0.00155148,0.00155148
9,187.861,1.17164,1.55721,5.71591,1.18088,0.8694,0.72114,0.79787,0.53935,0.8694,0.72114,0.79912,0.56393,1.31605,1.89188,4.82428,1.25048,0.00153497,0.00153497,0.00153497
10,208.382,1.15988,1.57468,5.52325,1.14769,0.78387,0.792,0.855,0.62669,0.78495,0.78959,0.85336,0.63044,1.1172,1.88664,4.45045,1.14559,0.00151847,0.00151847,0.00151847
11,228.838,1.15565,1.53969,5.44736,1.16568,0.60911,0.75263,0.60478,0.42644,0.60911,0.75263,0.60135,0.41201,1.13868,2.0186,5.41123,1.1558,0.00150197,0.00150197,0.00150197
12,248.424,1.16552,1.52079,5.19372,1.1799,0.83432,0.79179,0.86935,0.63026,0.83547,0.79788,0.87351,0.6412,1.14403,1.75771,4.19952,1.12062,0.00148546,0.00148546,0.00148546
13,268.982,1.11227,1.49557,5.057,1.15633,0.76842,0.79255,0.84072,0.60539,0.76551,0.79542,0.84194,0.63329,1.1831,1.68467,4.8449,1.13222,0.00146896,0.00146896,0.00146896
14,289.068,1.15384,1.56909,5.06637,1.15595,0.6438,0.59197,0.67174,0.4891,0.65093,0.59592,0.67356,0.4624,1.10967,1.95895,6.26704,1.09959,0.00145246,0.00145246,0.00145246
15,309.231,1.10708,1.50702,5.04391,1.13088,0.82674,0.65785,0.80762,0.60225,0.83027,0.65973,0.80839,0.60083,1.16129,1.83031,4.77844,1.18949,0.00143595,0.00143595,0.00143595
16,329.308,1.08988,1.44826,4.93651,1.12552,0.87077,0.81277,0.87806,0.60707,0.87077,0.81277,0.87765,0.66582,1.19831,1.70265,3.66708,1.12245,0.00141945,0.00141945,0.00141945
17,349.684,1.10748,1.48939,4.94293,1.12267,0.89054,0.76168,0.8745,0.64512,0.8988,0.7569,0.87517,0.63374,1.08412,1.87383,3.82625,1.117,0.00140295,0.00140295,0.00140295
18,369.378,1.10026,1.452,4.82607,1.13785,0.75302,0.81763,0.85536,0.643,0.74966,0.81097,0.85318,0.653,1.08154,1.70807,4.48926,1.12083,0.00138644,0.00138644,0.00138644
19,389.483,1.06353,1.46851,4.61731,1.12129,0.94713,0.84351,0.90548,0.66989,0.94676,0.8441,0.89781,0.6747,1.09664,1.79518,3.29389,1.08525,0.00136994,0.00136994,0.00136994
20,409.607,1.10016,1.43512,4.73403,1.13283,0.7649,0.81732,0.86228,0.64629,0.76423,0.82343,0.86341,0.65785,1.04525,1.69856,3.67955,1.06767,0.00135344,0.00135344,0.00135344
21,429.187,1.09316,1.50532,4.90156,1.11867,0.75402,0.85445,0.88335,0.66346,0.7549,0.85579,0.88428,0.66261,1.04311,1.78247,4.1189,1.07144,0.00133693,0.00133693,0.00133693
22,449.058,1.07323,1.40197,4.57461,1.10514,0.8812,0.82698,0.89023,0.60957,0.87937,0.82564,0.88855,0.61588,1.31319,1.85544,3.80586,1.17752,0.00132043,0.00132043,0.00132043
23,468.68,1.05962,1.46003,4.53544,1.12974,0.91679,0.80243,0.89063,0.6566,0.94671,0.77786,0.89027,0.67831,1.04303,1.74002,3.49583,1.07808,0.00130393,0.00130393,0.00130393
24,489.097,1.07529,1.49474,4.39742,1.10429,0.95797,0.86365,0.9078,0.64356,0.95961,0.86499,0.90642,0.64485,1.11702,1.82028,3.21828,1.12453,0.00128742,0.00128742,0.00128742
25,509.54,1.03299,1.43731,4.39406,1.11941,0.88598,0.83509,0.88095,0.58398,0.88488,0.84403,0.88946,0.6373,1.27197,1.8388,3.36834,1.17239,0.00127092,0.00127092,0.00127092
26,529.639,1.05779,1.44794,4.45994,1.10172,0.85634,0.831,0.8982,0.65994,0.85901,0.83669,0.90323,0.67566,1.07263,1.72988,3.24988,1.09683,0.00125442,0.00125442,0.00125442
27,549.955,1.03387,1.46329,4.42995,1.10932,0.9634,0.85444,0.90307,0.67331,0.9607,0.85701,0.90862,0.6816,1.13654,1.71547,3.15786,1.12974,0.00123791,0.00123791,0.00123791
28,569.822,1.01722,1.37718,4.30312,1.0946,0.95373,0.85577,0.9081,0.68276,0.94595,0.87037,0.91283,0.6912,1.07331,1.64176,3.0205,1.11037,0.00122141,0.00122141,0.00122141
29,590.198,1.05658,1.42211,4.31429,1.10319,0.95471,0.85214,0.90562,0.67165,0.95687,0.85974,0.9079,0.68999,1.0833,1.67135,2.86141,1.08875,0.00120491,0.00120491,0.00120491
30,609.977,1.06972,1.3984,4.34136,1.10324,0.94655,0.85496,0.90313,0.68992,0.9448,0.85094,0.90368,0.69175,0.99705,1.60874,2.78625,1.06811,0.0011884,0.0011884,0.0011884
31,629.953,1.0246,1.40185,4.24798,1.0797,0.95688,0.86345,0.91181,0.67399,0.95682,0.86239,0.90422,0.68817,1.04084,1.69069,2.8912,1.07061,0.0011719,0.0011719,0.0011719
32,649.96,1.05103,1.34289,4.20398,1.08089,0.95524,0.85489,0.90179,0.67385,0.95571,0.85497,0.90005,0.67674,1.01643,1.67316,2.88453,1.06546,0.0011554,0.0011554,0.0011554
33,669.659,1.02563,1.37444,4.21712,1.08321,0.92105,0.84802,0.90641,0.68655,0.92281,0.84936,0.9071,0.66753,1.05955,1.73355,3.19698,1.08321,0.00113889,0.00113889,0.00113889
