,0,1,2,3,4,5,6,7,8
0,image,x0 (microns),y0 (microns),σ (microns),color,N (count),B (count),R^2,CRLB_x0 (microns)
1,0,264.8661319254415,151.77457022323395,13.3959168108273,0,50813080.96259278,1.7545135213552064e-06,0.6960585830083379,0.390337128084745
2,0,441.05318219438846,394.2146531869866,12.105381789007437,0,15537064.53608903,2.918043515249012e-06,0.5284713091758035,0.7478133030326906
3,1,264.14121739007567,151.32128496745617,13.45835100626375,0,49901676.523643404,1.917350654761798e-06,0.6832775420628534,0.3988077810772915
4,1,440.20633632879003,393.91538190414127,11.973408266281908,0,22115449.45502074,1.4831792527089859e-05,0.6103655771584113,0.5865182578423729
5,2,57.24828779832356,180.0347360119831,17.940658991697013,1,89343630.31220406,8.61910743473173e-09,0.9196677447742401,0.3661821611546192
6,2,455.6330268747288,159.99875097487123,10.35274557675906,0,7648407.306911215,0.0,0.5555730360708391,0.7710420197143213
7,2,57.97256420170012,180.20180907595434,19.272439230765503,0,104678100.1330145,16091.869273822449,0.9336251881547352,0.35902376483185233
8,3,456.44291395583645,162.25955695009375,9.853862729374525,0,6069580.629405655,0.0,0.49012983123583365,0.9103921313114606
9,3,59.63939819751559,179.45694092605152,19.119681796619414,1,108064949.90289298,56959.95415803301,0.9279682822927833,0.35578880132395013
10,4,170.1202893566248,297.8076401207751,16.045900481868664,1,74447903.7645872,2.3656340010121666e-06,0.8734917176184611,0.36091146614368846
11,4,383.8006715215573,345.28248868129367,14.095104410984028,1,37567942.01628159,0.0,0.7891515696228844,0.4683091524051181
12,5,319.8684555799854,350.8953137900014,13.763403418124016,0,52040568.60907268,4.883947480010062e-06,0.7489829504847607,0.39547479119227397
13,6,62.664691310998705,281.70435196254334,16.832772730033643,1,85609576.70064715,2.247682572018516e-05,0.9262591869462177,0.35550641591148985
14,6,406.8296177052493,353.485859316776,13.715468714747134,0,47838861.45266479,1.5171185403070568e-06,0.8291578999776016,0.39931794463090386
15,7,219.272671506273,100.79008571674837,27.80561717773952,1,194849053.47521043,0.0008414845500809314,0.8720031336502211,0.3930468584017856
16,7,319.65005193865954,441.60792072776593,12.741634015139754,0,9499359.269655544,6.002976284190701e-09,0.45589814452540967,1.0153778381332046
17,8,363.9773060922144,204.9775642647441,14.678079707839572,0,47078723.67165594,0.0,0.5161584918502798,0.47185183106246414
18,8,245.5462826408979,258.81616445338483,17.55531250587041,0,7388493.326016111,0.011573250760540096,0.16558875421705888,2.146550373859296
